板块名称,股票代码,总资金占比,目标价格,股票名称,最小股数,最小价差,目标股数,持仓,可用持仓,成本,持仓市值,委托数量,成交数量,委托价格,仓位变动
,HK.00580,0,4.99,赛晶科技,2000,0.01,0,2000.0,2000.0,5.18,9980.0,0.0,0.0,0.0,-2000.0
建筑,HK.00750,100,2.35,水发兴业能源,1000,0.01,9000,4000.0,4000.0,2.875,9400.0,0.0,0.0,0.0,5000.0
