板块名称,股票代码,总资金占比,目标价格,股票名称,最小股数,最小价差,目标股数,持仓,可用持仓,成本,持仓市值,委托数量,成交数量,委托价格,仓位变动
公用事业,HK.01799,70,23.8,新特能源,400,0.05,14800,18000.0,18000.0,23.2,424800.0,0.0,0.0,0.0,-3200.0
建筑,HK.00750,30,2.46,水发兴业能源,1000,0.01,61000,31000.0,31000.0,2.373,75950.0,0.0,0.0,0.0,30000.0
