板块名称,股票代码,总资金占比,目标价格,股票名称,最小股数,最小价差,目标股数,持仓,可用持仓,成本,持仓市值,委托数量,成交数量,委托价格,仓位变动
建筑,HK.00750,10.0,2.42,水发兴业能源,1000,0.01,19000,100000.0,100000.0,2.41,243000.0,0.0,0.0,0.0,-81000.0
,HK.06055,0.0,17.7,中烟香港,1000,0.02,0,5000.0,5000.0,16.92,88500.0,0.0,0.0,0.0,-5000.0
工用运输,HK.00316,50.01,118.5,东方海外国际,500,0.1,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
