板块名称,股票代码,总资金占比,目标价格,股票名称,最小股数,最小价差,目标股数,持仓,可用持仓,成本,持仓市值,委托数量,成交数量,委托价格,仓位变动
公用事业,HK.01799,50,23.55,新特能源,400,0.05,10400,14800.0,14800.0,23.07,352240.0,0.0,0.0,0.0,-4400.0
建筑,HK.00750,50,2.48,水发兴业能源,1000,0.01,102000,61000.0,61000.0,2.421,151280.0,0.0,0.0,0.0,41000.0
