板块名称,股票代码,总资金占比,目标价格,股票名称,最小股数,最小价差,目标股数,持仓,可用持仓,成本,持仓市值,委托数量,成交数量,委托价格,仓位变动
建筑,HK.00750,50.05,2.27,水发兴业能源,1000,0.01,4000,14000.0,14000.0,2.4356999999999998,31640.0,0.0,0.0,0.0,-10000.0
工业工程,HK.00580,49.95,5.19,赛晶科技,2000,0.01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
