板块名称,股票代码,总资金占比,目标价格,股票名称,最小股数,最小价差,目标股数,持仓,可用持仓,成本,持仓市值,委托数量,成交数量,委托价格,仓位变动
食物饮品,HK.06055,20,17.64,中烟香港,1000,0.02,5000,8000.0,8000.0,17.19,140800.0,0.0,0.0,0.0,-3000.0
建筑,HK.00750,50,2.41,水发兴业能源,1000,0.01,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
