segment_name,stock_symbol,weight,price,stock_name
机械设备,002046.SZ,20.0,16.38,国机精工
可转债,123042.SZ,15.0,277.152,银河转债
休闲服务,300688.SZ,15.0,33.73,创业黑马
医药生物,301017.SZ,15.0,26.9,漱玉平民
传媒,300052.SZ,15.0,19.56,中青宝
